"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"UF";"350600";2601;111;NA;173;2428;92;540;861;301;634;1449;1152;99;0;36;28;8;12;15;2;0;15;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0
2016;"UF";"350610";617;32;NA;39;578;21;103;166;91;197;325;292;20;0;6;4;2;2;2;0;0;3;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0
2016;"UF";"350620";11;0;NA;1;10;0;1;4;2;3;4;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350630";118;3;NA;7;111;2;24;31;15;39;66;52;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350635";287;25;NA;40;247;12;50;89;26;70;184;103;26;0;6;4;2;7;2;0;0;4;0;2;1;1;0;0;0;2;2;0;0;0;2;0;0
2016;"UF";"350640";71;1;NA;4;67;3;17;21;8;18;36;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350650";813;32;NA;66;747;19;140;142;131;315;450;363;26;0;19;12;7;6;15;0;0;2;0;2;0;0;0;1;1;1;1;0;0;0;0;0;0
2016;"UF";"350660";198;16;NA;14;184;2;30;64;36;52;112;86;11;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0
2016;"UF";"350670";95;1;NA;1;94;4;11;35;14;30;57;38;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350680";91;4;NA;7;84;5;13;18;15;33;51;40;5;0;4;4;0;0;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"UF";"350690";80;5;NA;3;77;3;17;33;13;11;44;36;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350700";323;21;NA;18;305;23;53;98;42;89;177;146;10;0;6;3;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350710";150;20;NA;11;139;4;25;54;20;36;79;71;8;0;3;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350715";22;2;NA;1;21;0;2;6;4;9;15;7;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350720";4;0;NA;0;4;0;3;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350730";26;0;NA;0;26;0;4;9;5;8;18;8;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350740";122;3;NA;8;114;4;21;38;18;33;61;61;5;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350745";22;1;NA;1;21;0;2;8;2;9;11;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
